file,variable,var_class
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,compensationofemployeesbyindustry_sec_L,other
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,compensationofemployeesbyindustry_sec_M_N,other
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,compensationofemployeesbyindustry_sec_O.Q,other
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,compensationofemployeesbyindustry_sec_O.U,other
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,compensationofemployeesbyindustry_sec_R.U,other
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,consumptionfixedcapitalbyindustry_sec_A,macro_or_labor
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,consumptionfixedcapitalbyindustry_sec_B.E,macro_or_labor
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,consumptionfixedcapitalbyindustry_sec_F,macro_or_labor
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,consumptionfixedcapitalbyindustry_sec_G.I,macro_or_labor
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,consumptionfixedcapitalbyindustry_sec_G.J,macro_or_labor
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,consumptionfixedcapitalbyindustry_sec_J,macro_or_labor
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,consumptionfixedcapitalbyindustry_sec_K,macro_or_labor
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,consumptionfixedcapitalbyindustry_sec_K.N,macro_or_labor
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,consumptionfixedcapitalbyindustry_sec_L,macro_or_labor
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,consumptionfixedcapitalbyindustry_sec_M_N,macro_or_labor
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,consumptionfixedcapitalbyindustry_sec_O.Q,macro_or_labor
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,consumptionfixedcapitalbyindustry_sec_O.U,macro_or_labor
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,consumptionfixedcapitalbyindustry_sec_R.U,macro_or_labor
