NUTS_ID,avg_d_emissions,avg_d_employment,n_obs
CZ080,-560463.055555556,-0.422222222222223,18
DE111,-19269.5555555556,0.1,18
DE112,-2278.27777777778,0.0944444444444439,18
DE113,-131837.611111111,-0.338888888888889,18
DE114,-2028.11111111111,-0.261111111111111,18
DE115,-57141.1666666667,0.183333333333333,18
DE116,-329.944444444444,-0.161111111111111,18
DE117,-184466.611111111,-0.272222222222222,18
DE118,-2699.5,0.527777777777779,18
DE119,-566.777777777778,0.422222222222222,18
DE11A,-1864.16666666667,0.544444444444445,18
DE11C,-3851,-0.0833333333333334,18
DE11D,-11589.8333333333,0.344444444444444,18
DE121,-1179,-0.199999999999999,1
DE122,715.777777777778,-0.172222222222222,18
DE123,1233.16666666667,-0.166666666666666,18
DE124,-4045.88888888889,-0.0944444444444443,18
DE125,-1786.72222222222,-0.0777777777777778,18
DE126,-260719.388888889,-0.183333333333334,18
DE128,-35731.1666666667,-0.383333333333333,18
DE129,-13181.5,-0.0333333333333332,18
DE12B,-1917.28571428571,-0.0714285714285706,7
DE12C,-504.333333333333,0.0944444444444443,18
DE131,-9317.55555555556,0.122222222222222,18
DE132,-6278.44444444444,0.277777777777778,18
DE134,-13301.7222222222,0.266666666666667,18
DE138,-3143.33333333333,-0.122222222222222,18
DE139,-9156.05555555556,-0.072222222222222,18
DE13A,-32209,-0.2,7
DE141,-856.777777777778,0.0888888888888885,18
DE142,-2739.77777777778,0.183333333333333,18
DE143,6473.16666666667,0.0722222222222223,18
DE144,-4612.27777777778,0.0444444444444444,18
DE145,358.833333333333,0.116666666666667,18
DE146,-15.9444444444444,0.727777777777778,18
DE147,206.444444444444,0.516666666666666,18
DE148,-17235.9444444444,0.499999999999999,18
DE149,-1355.57142857143,0.0571428571428574,7
DE211,-29948.7222222222,0.411111111111111,18
DE212,-101477.333333333,-0.244444444444446,18
DE213,-298,-0.227777777777778,18
DE214,-6133.33333333333,0.144444444444444,18
DE215,-546.714285714286,0.0714285714285715,7
DE217,-7461.44444444444,0.0166666666666666,18
DE218,-282.111111111111,0.0833333333333334,18
DE219,-55983.8333333333,0.161111111111111,18
DE21A,-1264.55555555556,0.0777777777777778,18
DE21B,-45957.7222222222,-0.0555555555555556,18
DE21C,-1136.38888888889,0.0666666666666668,18
DE21F,-276.944444444445,0.133333333333333,18
DE21G,-1479.94444444444,0.216666666666667,18
DE21H,-1724,0.455555555555555,18
DE21I,1281.33333333333,0.0222222222222221,18
DE21J,11824.3333333333,0.327777777777778,18
DE21K,-4737.22222222222,0.327777777777778,18
DE21M,-2263.83333333333,0.5,18
DE21N,-2684.38888888889,0.288888888888889,18
DE221,1373.77777777778,-0.116666666666667,18
DE224,-7961.55555555556,0.00555555555555572,18
DE225,-365,0.0749999999999998,4
DE226,-17384.5,0.144444444444444,18
DE227,-1138.55555555556,0.261111111111111,18
DE228,-341.055555555556,0.155555555555555,18
DE229,-830.777777777778,0.133333333333333,18
DE22A,-1112.33333333333,0.0388888888888888,18
DE22B,-788.055555555556,0.205555555555555,18
DE22C,1133.16666666667,0.194444444444445,18
DE232,-7879.77777777778,0.116666666666666,18
DE233,454.944444444445,-0.0333333333333332,18
DE234,-213.944444444444,0.0166666666666667,18
DE235,-4.11111111111111,0.372222222222222,18
DE236,-555.888888888889,0.216666666666667,18
DE237,-7198.83333333333,0.222222222222222,18
DE238,-981.944444444444,0.255555555555556,18
DE239,-11579.8333333333,0.277777777777778,18
DE23A,-770.833333333333,0.177777777777778,18
DE241,-1048.14285714286,-0.128571428571429,7
DE242,-140.285714285714,0.142857142857143,7
DE245,-1824.0625,0.19375,16
DE248,-617.333333333333,0.155555555555556,9
DE249,-1957,0.00666666666666659,15
DE24A,963.722222222222,-0.133333333333333,18
DE24B,-431.555555555556,0.0444444444444444,18
DE24D,-1393.88888888889,0.0611111111111111,18
DE251,-995.833333333333,-0.05,18
DE252,-3789.38888888889,0.361111111111111,18
DE253,-290.222222222222,0.0388888888888888,18
DE254,-45436.8333333333,-0.655555555555556,18
DE257,-1198.85714285714,0.242857142857143,7
DE258,-1250.4,0.0399999999999999,15
DE259,-92.9,0.14,10
DE25A,-108.611111111111,0.0944444444444443,18
